modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_clases_presentes_train,clase_codificada,clase,frecuencia_train,peso_clase,peso_aplicado,estrategia,formula,calculado_solo_con_train
a,aleatoria,random_forest,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,3,Floración,58,3.010344827586207,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,5,4,Senescencia / caída de hojas,229,0.7624454148471616,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,0,Brotación / desarrollo foliar,228,0.8096491228070175,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,1,Cosecha / post-cosecha,156,1.1833333333333333,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,2,Envero / maduración,223,0.8278026905829596,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,3,Floración,72,2.563888888888889,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,4,Senescencia / caída de hojas,244,0.7565573770491804,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,0,Brotación / desarrollo foliar,228,0.8096491228070175,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,1,Cosecha / post-cosecha,156,1.1833333333333333,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,2,Envero / maduración,223,0.8278026905829596,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,3,Floración,72,2.563888888888889,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,5,4,Senescencia / caída de hojas,244,0.7565573770491804,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,0,Brotación / desarrollo foliar,212,0.8207547169811321,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,1,Cosecha / post-cosecha,150,1.16,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,2,Envero / maduración,203,0.8571428571428571,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,3,Floración,72,2.4166666666666665,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,red_densa,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,4,Senescencia / caída de hojas,233,0.7467811158798283,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,0,Brotación / desarrollo foliar,212,0.8207547169811321,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,por_estacion,random_forest,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,5,1,Cosecha / post-cosecha,150,1.16,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
