modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_test,estaciones_train,estaciones_test,clases_train,clases_test,clases_ausentes_train,clases_ausentes_test,accuracy,f1_macro,f1_weighted,tiempo_entrenamiento_segundos,tiempo_inferencia_segundos,tiempo_total_segundos,epocas_ejecutadas,early_stopping_detencion
aprima,por_estacion,red_densa,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,29,9,5,4,,Floración,0.6846846846846847,0.5341677096370463,0.6940024236645012,5.084242500000073,0.11373800000001211,5.197980500000085,60.0,False
aprima,por_estacion,random_forest,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,29,9,5,4,,Floración,0.9459459459459459,0.7557250753299385,0.9505559224404209,0.48682479999934003,0.0602180000005319,0.5470427999998719,,
aprima,por_estacion,red_densa,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,31,7,5,4,,Floración,0.7586206896551724,0.5959607959607959,0.7680299663058283,4.946742000000086,0.11164080000071408,5.0583828000008,60.0,False
aprima,por_estacion,random_forest,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,31,7,5,4,,Floración,0.9310344827586207,0.7492960044684183,0.9388753416696344,0.48591620000024704,0.05936199999996461,0.5452782000002117,,
b,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,132,37,34,5,5,,,0.7196969696969697,0.7122293870268892,0.7164631146433109,4.902542600000743,0.11214399999971647,5.014686600000459,60.0,False
b,aleatoria,random_forest,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,132,37,34,5,5,,,0.8939393939393939,0.8808064697646445,0.893713991483203,0.4871335999996518,0.059249500000078115,0.5463830999997299,,
b,aleatoria,red_densa,2,5E37846F90A7538F65B130FC79FBB60117BF43FED6E3A6ECC03BC3EA1C047424,525,132,38,31,5,5,,,0.7272727272727273,0.7270174199623353,0.7229414555156081,4.293914300000324,0.11607550000007905,4.409989800000403,51.0,True
b,aleatoria,random_forest,2,5E37846F90A7538F65B130FC79FBB60117BF43FED6E3A6ECC03BC3EA1C047424,525,132,38,31,5,5,,,0.8636363636363636,0.8659301865048139,0.8613910266858812,0.5035249000002295,0.06008980000024167,0.5636147000004712,,
b,aleatoria,red_densa,3,57F4B12E5633246B59F3B1AFC161288B23259831EB732E141BA8C17421A286A5,526,131,37,36,5,5,,,0.8091603053435115,0.8047456631113746,0.8092202681257806,4.8436482000006436,0.11115260000042326,4.954800800001067,60.0,False
b,aleatoria,random_forest,3,57F4B12E5633246B59F3B1AFC161288B23259831EB732E141BA8C17421A286A5,526,131,37,36,5,5,,,0.916030534351145,0.9127991124055196,0.9167499792234712,0.4844459999994797,0.07022340000003169,0.5546693999995114,,
b,aleatoria,red_densa,4,1ADF9116676B66BEE01A1F5DF24C8B91AA03B03E0F1220921E3894782A55A57E,526,131,38,33,5,5,,,0.816793893129771,0.8199328257948947,0.8138619869206866,4.5645063000001755,0.11065610000059678,4.675162400000772,55.0,True
b,aleatoria,random_forest,4,1ADF9116676B66BEE01A1F5DF24C8B91AA03B03E0F1220921E3894782A55A57E,526,131,38,33,5,5,,,0.9389312977099237,0.9343000188217578,0.9373743503979147,0.48324139999931504,0.06076859999939188,0.5440099999987069,,
b,aleatoria,red_densa,5,B268CDE4E48DC3B5DFAE0303AEF90B1F5E84FE2F14345EA4ADEAE37EFFEC974F,526,131,38,33,5,5,,,0.7786259541984732,0.7742014568193057,0.7736212342748929,4.822944099999404,0.11216510000031121,4.935109199999715,60.0,False
b,aleatoria,random_forest,5,B268CDE4E48DC3B5DFAE0303AEF90B1F5E84FE2F14345EA4ADEAE37EFFEC974F,526,131,38,33,5,5,,,0.9541984732824428,0.9528927180530606,0.9538709287946396,0.4922423999996681,0.06042479999996431,0.5526671999996324,,
b,por_estacion,red_densa,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,31,7,4,5,Floración,,0.538135593220339,0.45495130514063786,0.470521097710722,4.660264000000097,0.12046620000000985,4.780730200000107,60.0,False
b,por_estacion,random_forest,1,8149DBC10B363D51E4970448133FC4325E6C81674F5B338D6510B60A425BF6D5,421,236,31,7,4,5,Floración,,0.5847457627118644,0.530388770334324,0.5259625779031943,0.4749555999997028,0.06449700000030134,0.5394526000000042,,
b,por_estacion,red_densa,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,31,7,5,4,,Floración,0.69,0.5287813620071684,0.6716469534050179,5.070776300000034,0.11036860000058368,5.181144900000618,60.0,False
b,por_estacion,random_forest,2,33CD5F705F7E9DFF97A578705CFACC1730B712D4FF357FF7C188384E7825D08E,557,100,31,7,5,4,,Floración,0.93,0.7433824080867367,0.9295656313687126,0.4918654000002789,0.060461799999757204,0.5523272000000361,,
b,por_estacion,red_densa,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,30,8,5,4,,Floración,0.7659574468085106,0.595979343905894,0.768305208317606,4.130221699999311,0.10874409999996715,4.238965799999278,46.0,True
b,por_estacion,random_forest,3,508B03E769684B1A2989E27D136EA599A100F976C46CEA79B435CAB743FA536D,563,94,30,8,5,4,,Floración,0.9148936170212766,0.726839826839827,0.9141797918393663,0.47943779999968683,0.05021579999993264,0.5296535999996195,,
b,por_estacion,red_densa,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,29,9,5,4,,Floración,0.7027027027027027,0.5496336996336997,0.7107794607794607,5.012491200000113,0.10991399999966234,5.1224051999997755,60.0,False
b,por_estacion,random_forest,4,44DEC11A6362FB6EA7CFEC44A3BD7DC6E71B4D1537E051BFA86089E5694E09E1,546,111,29,9,5,4,,Floración,0.918918918918919,0.7336908212560386,0.9213835574705139,0.4877340000002732,0.06154160000005504,0.5492756000003283,,
b,por_estacion,red_densa,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,31,7,5,4,,Floración,0.7586206896551724,0.6030066913106545,0.7727871963134058,4.954441799999586,0.11117099999955826,5.065612799999144,60.0,False
b,por_estacion,random_forest,5,63B1563304B5AA3AC397E0CA5BA09D04F13725CC8D6383FF0C03ECAC54BF7896,541,116,31,7,5,4,,Floración,0.9137931034482759,0.725034945086293,0.9163043050575697,0.49227739999969344,0.05930220000027475,0.5515795999999682,,
